GENERATION_PROJECT,build_year,gen_overnight_cost,gen_fixed_om,gen_storage_energy_overnight_cost
VN05_ECOA,2050,2352244.5,66654,.
VN05_ECOA_CCS,2050,3478428,94599,.
VN05_EGEO,2023,3655006.89009747,107188.721220127,.
VN05_EGEO,2050,3655006.89009747,107188.721220127,.
VN05_ENUC,2050,5968058.10526765,122958,.
VN05_EOIL,1992,632500,9000,.
VN05_EOIL,2009,632500,9000,.
VN05_EOIL,2015,632500,9000,.
VN05_EOIL,2050,632500,9000,.
VN05_EROR,1991,2801745,84870,.
VN05_EROR,2004,2801745,84870,.
VN05_EROR,2006,2801745,84870,.
VN05_EROR,2011,2801745,84870,.
VN05_EROR,2017,2801745,84870,.
VN05_EROR,2018,2801745,84870,.
VN05_EROR,2050,2801745,84870,.
VN05_ESOL,2020,631789.618611051,13968.9741396954,.
VN05_ESOL,2021,631789.618611051,13968.9741396954,.
VN05_ESOL,2023,631789.618611051,13968.9741396954,.
VN05_ESOL,2050,631789.618611051,13968.9741396954,.
VN05_EWIN,2021,900371.963368933,24115.5,.
VN05_EWIN,2023,900371.963368933,24115.5,.
VN05_EWIN,2050,900371.963368933,24115.5,.
VN05_EWIN_OFF,2050,1668417.99821067,76187.947867986,.
VN05_IMP,2050,0,0,.
VN05_STG_BTR,2050,200000,15500,140000
VN05_STG_PHS,2023,2656504.87817142,19313.1,.
VN05_STG_PHS,2050,2656504.87817142,19313.1,.
